parameters:
	one transition count per molecule: yes
	state sequences re-arranged: no
	include static state sequences: yes
	x-axis: value before transition (m)
	y-axis: value after transition (m*)
	z-axis: occurence of transition amp(m,m*)
	x-lim: [-2.000000e-01,1.200000e+00], x bin: 2.500000e-02
	y-lim: [-2.000000e-01,1.200000e+00], y bin: 2.500000e-02

before trans.	after trans.	occurence
1.125000e-01	1.187500e+00	0
1.375000e-01	-1.875000e-01	0
1.375000e-01	-1.625000e-01	0
1.375000e-01	-1.375000e-01	0
1.375000e-01	-1.125000e-01	0
1.375000e-01	-8.750000e-02	0
1.375000e-01	-6.250000e-02	0
1.375000e-01	-3.750000e-02	0
1.375000e-01	-1.250000e-02	0
1.375000e-01	1.250000e-02	0
1.375000e-01	3.750000e-02	0
1.375000e-01	6.250000e-02	0
1.375000e-01	8.750000e-02	0
1.375000e-01	1.125000e-01	0
1.375000e-01	1.375000e-01	0
1.375000e-01	1.625000e-01	0
1.375000e-01	1.875000e-01	0
1.375000e-01	2.125000e-01	0
1.375000e-01	2.375000e-01	0
1.375000e-01	2.625000e-01	0
1.375000e-01	2.875000e-01	0
1.375000e-01	3.125000e-01	0
1.375000e-01	3.375000e-01	0
1.375000e-01	3.625000e-01	0
1.375000e-01	3.875000e-01	0
1.375000e-01	4.125000e-01	0
1.375000e-01	4.375000e-01	0
1.375000e-01	4.625000e-01	0
1.375000e-01	4.875000e-01	0
1.375000e-01	5.125000e-01	0
1.375000e-01	5.375000e-01	0
1.375000e-01	5.625000e-01	0
1.375000e-01	5.875000e-01	0
1.375000e-01	6.125000e-01	0
1.375000e-01	6.375000e-01	0
1.375000e-01	6.625000e-01	0
1.375000e-01	6.875000e-01	0
1.375000e-01	7.125000e-01	0
1.375000e-01	7.375000e-01	0
1.375000e-01	7.625000e-01	0
1.375000e-01	7.875000e-01	0
1.375000e-01	8.125000e-01	0
1.375000e-01	8.375000e-01	0
1.375000e-01	8.625000e-01	0
1.375000e-01	8.875000e-01	0
1.375000e-01	9.125000e-01	0
1.375000e-01	9.375000e-01	0
1.375000e-01	9.625000e-01	0
1.375000e-01	9.875000e-01	0
1.375000e-01	1.012500e+00	0
1.375000e-01	1.037500e+00	0
1.375000e-01	1.062500e+00	0
1.375000e-01	1.087500e+00	0
1.375000e-01	1.112500e+00	0
1.375000e-01	1.137500e+00	0
1.375000e-01	1.162500e+00	0
1.375000e-01	1.187500e+00	0
1.625000e-01	-1.875000e-01	0
1.625000e-01	-1.625000e-01	0
1.625000e-01	-1.375000e-01	0
1.625000e-01	-1.125000e-01	0
1.625000e-01	-8.750000e-02	0
1.625000e-01	-6.250000e-02	0
1.625000e-01	-3.750000e-02	0
1.625000e-01	-1.250000e-02	0
1.625000e-01	1.250000e-02	0
1.625000e-01	3.750000e-02	0
1.625000e-01	6.250000e-02	0
1.625000e-01	8.750000e-02	0
1.625000e-01	1.125000e-01	0
1.625000e-01	1.375000e-01	0
1.625000e-01	1.625000e-01	1
1.625000e-01	1.875000e-01	0
1.625000e-01	2.125000e-01	0
1.625000e-01	2.375000e-01	0
1.625000e-01	2.625000e-01	0
1.625000e-01	2.875000e-01	0
1.625000e-01	3.125000e-01	0
1.625000e-01	3.375000e-01	1
1.625000e-01	3.625000e-01	0
1.625000e-01	3.875000e-01	0
1.625000e-01	4.125000e-01	0
1.625000e-01	4.375000e-01	0
1.625000e-01	4.625000e-01	0
1.625000e-01	4.875000e-01	0
1.625000e-01	5.125000e-01	0
1.625000e-01	5.375000e-01	0
1.625000e-01	5.625000e-01	0
1.625000e-01	5.875000e-01	0
1.625000e-01	6.125000e-01	1
1.625000e-01	6.375000e-01	0
1.625000e-01	6.625000e-01	0
1.625000e-01	6.875000e-01	0
1.625000e-01	7.125000e-01	0
1.625000e-01	7.375000e-01	0
1.625000e-01	7.625000e-01	0
1.625000e-01	7.875000e-01	0
1.625000e-01	8.125000e-01	0
1.625000e-01	8.375000e-01	0
1.625000e-01	8.625000e-01	0
1.625000e-01	8.875000e-01	0
1.625000e-01	9.125000e-01	0
1.625000e-01	9.375000e-01	0
1.625000e-01	9.625000e-01	0
1.625000e-01	9.875000e-01	0
1.625000e-01	1.012500e+00	0
1.625000e-01	1.037500e+00	0
1.625000e-01	1.062500e+00	0
1.625000e-01	1.087500e+00	0
1.625000e-01	1.112500e+00	0
1.625000e-01	1.137500e+00	0
1.625000e-01	1.162500e+00	0
1.625000e-01	1.187500e+00	0
1.875000e-01	-1.875000e-01	0
1.875000e-01	-1.625000e-01	0
1.875000e-01	-1.375000e-01	0
1.875000e-01	-1.125000e-01	0
1.875000e-01	-8.750000e-02	0
1.875000e-01	-6.250000e-02	0
1.875000e-01	-3.750000e-02	0
1.875000e-01	-1.250000e-02	0
1.875000e-01	1.250000e-02	0
1.875000e-01	3.750000e-02	0
1.875000e-01	6.250000e-02	0
1.875000e-01	8.750000e-02	0
1.875000e-01	1.125000e-01	0
1.875000e-01	1.375000e-01	0
1.875000e-01	1.625000e-01	0
1.875000e-01	1.875000e-01	0
1.875000e-01	2.125000e-01	0
1.875000e-01	2.375000e-01	0
1.875000e-01	2.625000e-01	0
1.875000e-01	2.875000e-01	0
1.875000e-01	3.125000e-01	0
1.875000e-01	3.375000e-01	0
1.875000e-01	3.625000e-01	0
1.875000e-01	3.875000e-01	0
1.875000e-01	4.125000e-01	0
1.875000e-01	4.375000e-01	0
1.875000e-01	4.625000e-01	0
1.875000e-01	4.875000e-01	0
1.875000e-01	5.125000e-01	0
1.875000e-01	5.375000e-01	0
1.875000e-01	5.625000e-01	0
1.875000e-01	5.875000e-01	0
1.875000e-01	6.125000e-01	0
1.875000e-01	6.375000e-01	0
1.875000e-01	6.625000e-01	0
1.875000e-01	6.875000e-01	0
1.875000e-01	7.125000e-01	0
1.875000e-01	7.375000e-01	0
1.875000e-01	7.625000e-01	0
1.875000e-01	7.875000e-01	0
1.875000e-01	8.125000e-01	0
1.875000e-01	8.375000e-01	0
1.875000e-01	8.625000e-01	0
1.875000e-01	8.875000e-01	0
1.875000e-01	9.125000e-01	0
1.875000e-01	9.375000e-01	0
1.875000e-01	9.625000e-01	0
1.875000e-01	9.875000e-01	0
1.875000e-01	1.012500e+00	0
1.875000e-01	1.037500e+00	0
1.875000e-01	1.062500e+00	0
1.875000e-01	1.087500e+00	0
1.875000e-01	1.112500e+00	0
1.875000e-01	1.137500e+00	0
1.875000e-01	1.162500e+00	0
1.875000e-01	1.187500e+00	0
2.125000e-01	-1.875000e-01	0
2.125000e-01	-1.625000e-01	0
2.125000e-01	-1.375000e-01	0
2.125000e-01	-1.125000e-01	0
2.125000e-01	-8.750000e-02	0
2.125000e-01	-6.250000e-02	0
2.125000e-01	-3.750000e-02	0
2.125000e-01	-1.250000e-02	0
2.125000e-01	1.250000e-02	0
2.125000e-01	3.750000e-02	0
2.125000e-01	6.250000e-02	0
2.125000e-01	8.750000e-02	0
2.125000e-01	1.125000e-01	0
2.125000e-01	1.375000e-01	0
2.125000e-01	1.625000e-01	0
2.125000e-01	1.875000e-01	0
2.125000e-01	2.125000e-01	0
2.125000e-01	2.375000e-01	0
2.125000e-01	2.625000e-01	0
2.125000e-01	2.875000e-01	0
2.125000e-01	3.125000e-01	0
2.125000e-01	3.375000e-01	0
2.125000e-01	3.625000e-01	0
2.125000e-01	3.875000e-01	0
2.125000e-01	4.125000e-01	0
2.125000e-01	4.375000e-01	0
2.125000e-01	4.625000e-01	0
2.125000e-01	4.875000e-01	0
2.125000e-01	5.125000e-01	0
2.125000e-01	5.375000e-01	0
2.125000e-01	5.625000e-01	0
2.125000e-01	5.875000e-01	0
2.125000e-01	6.125000e-01	0
2.125000e-01	6.375000e-01	0
2.125000e-01	6.625000e-01	0
2.125000e-01	6.875000e-01	0
2.125000e-01	7.125000e-01	0
2.125000e-01	7.375000e-01	1
2.125000e-01	7.625000e-01	0
2.125000e-01	7.875000e-01	0
2.125000e-01	8.125000e-01	0
2.125000e-01	8.375000e-01	0
2.125000e-01	8.625000e-01	0
2.125000e-01	8.875000e-01	0
2.125000e-01	9.125000e-01	0
2.125000e-01	9.375000e-01	0
2.125000e-01	9.625000e-01	0
2.125000e-01	9.875000e-01	0
2.125000e-01	1.012500e+00	0
2.125000e-01	1.037500e+00	0
2.125000e-01	1.062500e+00	0
2.125000e-01	1.087500e+00	0
2.125000e-01	1.112500e+00	0
2.125000e-01	1.137500e+00	0
2.125000e-01	1.162500e+00	0
2.125000e-01	1.187500e+00	0
2.375000e-01	-1.875000e-01	0
2.375000e-01	-1.625000e-01	0
2.375000e-01	-1.375000e-01	0
2.375000e-01	-1.125000e-01	0
2.375000e-01	-8.750000e-02	0
2.375000e-01	-6.250000e-02	0
2.375000e-01	-3.750000e-02	0
2.375000e-01	-1.250000e-02	0
2.375000e-01	1.250000e-02	0
2.375000e-01	3.750000e-02	0
2.375000e-01	6.250000e-02	0
2.375000e-01	8.750000e-02	0
2.375000e-01	1.125000e-01	0
2.375000e-01	1.375000e-01	0
2.375000e-01	1.625000e-01	0
2.375000e-01	1.875000e-01	0
2.375000e-01	2.125000e-01	0
2.375000e-01	2.375000e-01	0
2.375000e-01	2.625000e-01	0
2.375000e-01	2.875000e-01	0
2.375000e-01	3.125000e-01	0
2.375000e-01	3.375000e-01	0
2.375000e-01	3.625000e-01	0
2.375000e-01	3.875000e-01	0
2.375000e-01	4.125000e-01	0
2.375000e-01	4.375000e-01	0
2.375000e-01	4.625000e-01	0
2.375000e-01	4.875000e-01	0
2.375000e-01	5.125000e-01	0
2.375000e-01	5.375000e-01	0
2.375000e-01	5.625000e-01	0
2.375000e-01	5.875000e-01	0
2.375000e-01	6.125000e-01	0
2.375000e-01	6.375000e-01	0
2.375000e-01	6.625000e-01	0
2.375000e-01	6.875000e-01	0
2.375000e-01	7.125000e-01	0
2.375000e-01	7.375000e-01	0
2.375000e-01	7.625000e-01	0
2.375000e-01	7.875000e-01	0
2.375000e-01	8.125000e-01	0
2.375000e-01	8.375000e-01	0
2.375000e-01	8.625000e-01	0
2.375000e-01	8.875000e-01	0
2.375000e-01	9.125000e-01	0
2.375000e-01	9.375000e-01	0
2.375000e-01	9.625000e-01	0
2.375000e-01	9.875000e-01	0
2.375000e-01	1.012500e+00	0
2.375000e-01	1.037500e+00	0
2.375000e-01	1.062500e+00	0
2.375000e-01	1.087500e+00	0
2.375000e-01	1.112500e+00	0
2.375000e-01	1.137500e+00	0
2.375000e-01	1.162500e+00	0
2.375000e-01	1.187500e+00	0
2.625000e-01	-1.875000e-01	0
2.625000e-01	-1.625000e-01	0
2.625000e-01	-1.375000e-01	0
2.625000e-01	-1.125000e-01	0
2.625000e-01	-8.750000e-02	0
2.625000e-01	-6.250000e-02	0
2.625000e-01	-3.750000e-02	0
2.625000e-01	-1.250000e-02	0
2.625000e-01	1.250000e-02	0
2.625000e-01	3.750000e-02	0
2.625000e-01	6.250000e-02	0
2.625000e-01	8.750000e-02	0
2.625000e-01	1.125000e-01	0
2.625000e-01	1.375000e-01	0
2.625000e-01	1.625000e-01	0
2.625000e-01	1.875000e-01	0
2.625000e-01	2.125000e-01	0
2.625000e-01	2.375000e-01	0
2.625000e-01	2.625000e-01	1
2.625000e-01	2.875000e-01	0
2.625000e-01	3.125000e-01	0
2.625000e-01	3.375000e-01	0
2.625000e-01	3.625000e-01	0
2.625000e-01	3.875000e-01	0
2.625000e-01	4.125000e-01	0
2.625000e-01	4.375000e-01	0
2.625000e-01	4.625000e-01	0
2.625000e-01	4.875000e-01	0
2.625000e-01	5.125000e-01	0
2.625000e-01	5.375000e-01	0
2.625000e-01	5.625000e-01	0
2.625000e-01	5.875000e-01	0
2.625000e-01	6.125000e-01	0
2.625000e-01	6.375000e-01	0
2.625000e-01	6.625000e-01	0
2.625000e-01	6.875000e-01	0
2.625000e-01	7.125000e-01	0
2.625000e-01	7.375000e-01	0
2.625000e-01	7.625000e-01	0
2.625000e-01	7.875000e-01	0
2.625000e-01	8.125000e-01	0
2.625000e-01	8.375000e-01	0
2.625000e-01	8.625000e-01	0
2.625000e-01	8.875000e-01	0
2.625000e-01	9.125000e-01	0
2.625000e-01	9.375000e-01	0
2.625000e-01	9.625000e-01	0
2.625000e-01	9.875000e-01	0
2.625000e-01	1.012500e+00	0
2.625000e-01	1.037500e+00	0
2.625000e-01	1.062500e+00	0
2.625000e-01	1.087500e+00	0
2.625000e-01	1.112500e+00	0
2.625000e-01	1.137500e+00	0
2.625000e-01	1.162500e+00	0
2.625000e-01	1.187500e+00	0
2.875000e-01	-1.875000e-01	0
2.875000e-01	-1.625000e-01	0
2.875000e-01	-1.375000e-01	0
2.875000e-01	-1.125000e-01	0
2.875000e-01	-8.750000e-02	0
2.875000e-01	-6.250000e-02	0
2.875000e-01	-3.750000e-02	0
2.875000e-01	-1.250000e-02	0
2.875000e-01	1.250000e-02	0
2.875000e-01	3.750000e-02	0
2.875000e-01	6.250000e-02	0
2.875000e-01	8.750000e-02	0
2.875000e-01	1.125000e-01	1
2.875000e-01	1.375000e-01	0
2.875000e-01	1.625000e-01	0
2.875000e-01	1.875000e-01	0
2.875000e-01	2.125000e-01	0
2.875000e-01	2.375000e-01	0
2.875000e-01	2.625000e-01	0
2.875000e-01	2.875000e-01	1
2.875000e-01	3.125000e-01	0
2.875000e-01	3.375000e-01	0
2.875000e-01	3.625000e-01	0
2.875000e-01	3.875000e-01	0
2.875000e-01	4.125000e-01	0
2.875000e-01	4.375000e-01	0
2.875000e-01	4.625000e-01	0
2.875000e-01	4.875000e-01	0
2.875000e-01	5.125000e-01	0
2.875000e-01	5.375000e-01	0
2.875000e-01	5.625000e-01	0
2.875000e-01	5.875000e-01	1
2.875000e-01	6.125000e-01	0
2.875000e-01	6.375000e-01	0
2.875000e-01	6.625000e-01	0
2.875000e-01	6.875000e-01	0
2.875000e-01	7.125000e-01	0
2.875000e-01	7.375000e-01	0
2.875000e-01	7.625000e-01	0
2.875000e-01	7.875000e-01	0
2.875000e-01	8.125000e-01	0
2.875000e-01	8.375000e-01	0
2.875000e-01	8.625000e-01	0
2.875000e-01	8.875000e-01	0
2.875000e-01	9.125000e-01	0
2.875000e-01	9.375000e-01	0
2.875000e-01	9.625000e-01	0
2.875000e-01	9.875000e-01	0
2.875000e-01	1.012500e+00	0
2.875000e-01	1.037500e+00	0
2.875000e-01	1.062500e+00	0
2.875000e-01	1.087500e+00	0
2.875000e-01	1.112500e+00	0
2.875000e-01	1.137500e+00	0
2.875000e-01	1.162500e+00	0
2.875000e-01	1.187500e+00	0
3.125000e-01	-1.875000e-01	0
3.125000e-01	-1.625000e-01	0
3.125000e-01	-1.375000e-01	0
3.125000e-01	-1.125000e-01	0
3.125000e-01	-8.750000e-02	0
3.125000e-01	-6.250000e-02	0
3.125000e-01	-3.750000e-02	0
3.125000e-01	-1.250000e-02	0
3.125000e-01	1.250000e-02	0
3.125000e-01	3.750000e-02	0
3.125000e-01	6.250000e-02	0
3.125000e-01	8.750000e-02	0
3.125000e-01	1.125000e-01	0
3.125000e-01	1.375000e-01	0
3.125000e-01	1.625000e-01	0
3.125000e-01	1.875000e-01	0
3.125000e-01	2.125000e-01	0
3.125000e-01	2.375000e-01	0
3.125000e-01	2.625000e-01	0
3.125000e-01	2.875000e-01	0
3.125000e-01	3.125000e-01	0
3.125000e-01	3.375000e-01	0
3.125000e-01	3.625000e-01	0
3.125000e-01	3.875000e-01	0
3.125000e-01	4.125000e-01	0
3.125000e-01	4.375000e-01	0
3.125000e-01	4.625000e-01	0
3.125000e-01	4.875000e-01	0
3.125000e-01	5.125000e-01	0
3.125000e-01	5.375000e-01	0
3.125000e-01	5.625000e-01	0
3.125000e-01	5.875000e-01	0
3.125000e-01	6.125000e-01	0
3.125000e-01	6.375000e-01	0
3.125000e-01	6.625000e-01	0
3.125000e-01	6.875000e-01	0
3.125000e-01	7.125000e-01	0
3.125000e-01	7.375000e-01	0
3.125000e-01	7.625000e-01	0
3.125000e-01	7.875000e-01	0
3.125000e-01	8.125000e-01	0
3.125000e-01	8.375000e-01	0
3.125000e-01	8.625000e-01	0
3.125000e-01	8.875000e-01	0
3.125000e-01	9.125000e-01	0
3.125000e-01	9.375000e-01	0
3.125000e-01	9.625000e-01	0
3.125000e-01	9.875000e-01	0
3.125000e-01	1.012500e+00	0
3.125000e-01	1.037500e+00	0
3.125000e-01	1.062500e+00	0
3.125000e-01	1.087500e+00	0
3.125000e-01	1.112500e+00	0
3.125000e-01	1.137500e+00	0
3.125000e-01	1.162500e+00	0
3.125000e-01	1.187500e+00	0
3.375000e-01	-1.875000e-01	0
3.375000e-01	-1.625000e-01	0
3.375000e-01	-1.375000e-01	0
3.375000e-01	-1.125000e-01	0
3.375000e-01	-8.750000e-02	0
3.375000e-01	-6.250000e-02	0
3.375000e-01	-3.750000e-02	0
3.375000e-01	-1.250000e-02	0
3.375000e-01	1.250000e-02	0
3.375000e-01	3.750000e-02	0
3.375000e-01	6.250000e-02	0
3.375000e-01	8.750000e-02	0
3.375000e-01	1.125000e-01	0
3.375000e-01	1.375000e-01	0
3.375000e-01	1.625000e-01	1
3.375000e-01	1.875000e-01	0
3.375000e-01	2.125000e-01	0
3.375000e-01	2.375000e-01	0
3.375000e-01	2.625000e-01	0
3.375000e-01	2.875000e-01	0
3.375000e-01	3.125000e-01	0
3.375000e-01	3.375000e-01	0
3.375000e-01	3.625000e-01	0
3.375000e-01	3.875000e-01	0
3.375000e-01	4.125000e-01	0
3.375000e-01	4.375000e-01	0
3.375000e-01	4.625000e-01	1
3.375000e-01	4.875000e-01	0
3.375000e-01	5.125000e-01	0
3.375000e-01	5.375000e-01	0
3.375000e-01	5.625000e-01	0
3.375000e-01	5.875000e-01	0
3.375000e-01	6.125000e-01	0
3.375000e-01	6.375000e-01	1
3.375000e-01	6.625000e-01	0
3.375000e-01	6.875000e-01	0
3.375000e-01	7.125000e-01	0
3.375000e-01	7.375000e-01	0
3.375000e-01	7.625000e-01	0
3.375000e-01	7.875000e-01	0
3.375000e-01	8.125000e-01	0
3.375000e-01	8.375000e-01	0
3.375000e-01	8.625000e-01	0
3.375000e-01	8.875000e-01	0
3.375000e-01	9.125000e-01	0
3.375000e-01	9.375000e-01	0
3.375000e-01	9.625000e-01	0
3.375000e-01	9.875000e-01	0
3.375000e-01	1.012500e+00	0
3.375000e-01	1.037500e+00	0
3.375000e-01	1.062500e+00	0
3.375000e-01	1.087500e+00	0
3.375000e-01	1.112500e+00	0
3.375000e-01	1.137500e+00	0
3.375000e-01	1.162500e+00	0
3.375000e-01	1.187500e+00	0
3.625000e-01	-1.875000e-01	0
3.625000e-01	-1.625000e-01	0
3.625000e-01	-1.375000e-01	0
3.625000e-01	-1.125000e-01	0
3.625000e-01	-8.750000e-02	0
3.625000e-01	-6.250000e-02	0
3.625000e-01	-3.750000e-02	0
3.625000e-01	-1.250000e-02	0
3.625000e-01	1.250000e-02	0
3.625000e-01	3.750000e-02	0
3.625000e-01	6.250000e-02	0
3.625000e-01	8.750000e-02	0
3.625000e-01	1.125000e-01	0
3.625000e-01	1.375000e-01	0
3.625000e-01	1.625000e-01	0
3.625000e-01	1.875000e-01	0
3.625000e-01	2.125000e-01	0
3.625000e-01	2.375000e-01	0
3.625000e-01	2.625000e-01	0
3.625000e-01	2.875000e-01	0
3.625000e-01	3.125000e-01	0
3.625000e-01	3.375000e-01	0
3.625000e-01	3.625000e-01	0
3.625000e-01	3.875000e-01	0
3.625000e-01	4.125000e-01	0
3.625000e-01	4.375000e-01	0
3.625000e-01	4.625000e-01	0
3.625000e-01	4.875000e-01	0
3.625000e-01	5.125000e-01	0
3.625000e-01	5.375000e-01	0
3.625000e-01	5.625000e-01	0
3.625000e-01	5.875000e-01	0
3.625000e-01	6.125000e-01	0
3.625000e-01	6.375000e-01	0
3.625000e-01	6.625000e-01	0
3.625000e-01	6.875000e-01	0
3.625000e-01	7.125000e-01	0
3.625000e-01	7.375000e-01	0
3.625000e-01	7.625000e-01	0
3.625000e-01	7.875000e-01	0
3.625000e-01	8.125000e-01	0
3.625000e-01	8.375000e-01	0
3.625000e-01	8.625000e-01	0
3.625000e-01	8.875000e-01	0
3.625000e-01	9.125000e-01	0
3.625000e-01	9.375000e-01	0
3.625000e-01	9.625000e-01	0
3.625000e-01	9.875000e-01	0
3.625000e-01	1.012500e+00	0
3.625000e-01	1.037500e+00	0
3.625000e-01	1.062500e+00	0
3.625000e-01	1.087500e+00	0
3.625000e-01	1.112500e+00	0
3.625000e-01	1.137500e+00	0
3.625000e-01	1.162500e+00	0
3.625000e-01	1.187500e+00	0
3.875000e-01	-1.875000e-01	0
3.875000e-01	-1.625000e-01	0
3.875000e-01	-1.375000e-01	0
3.875000e-01	-1.125000e-01	0
3.875000e-01	-8.750000e-02	0
3.875000e-01	-6.250000e-02	0
3.875000e-01	-3.750000e-02	0
3.875000e-01	-1.250000e-02	0
3.875000e-01	1.250000e-02	0
3.875000e-01	3.750000e-02	0
3.875000e-01	6.250000e-02	0
3.875000e-01	8.750000e-02	0
3.875000e-01	1.125000e-01	0
3.875000e-01	1.375000e-01	0
3.875000e-01	1.625000e-01	0
3.875000e-01	1.875000e-01	0
3.875000e-01	2.125000e-01	0
3.875000e-01	2.375000e-01	0
3.875000e-01	2.625000e-01	0
3.875000e-01	2.875000e-01	0
3.875000e-01	3.125000e-01	0
3.875000e-01	3.375000e-01	0
3.875000e-01	3.625000e-01	0
3.875000e-01	3.875000e-01	0
3.875000e-01	4.125000e-01	0
3.875000e-01	4.375000e-01	0
3.875000e-01	4.625000e-01	0
3.875000e-01	4.875000e-01	0
3.875000e-01	5.125000e-01	0
3.875000e-01	5.375000e-01	0
3.875000e-01	5.625000e-01	0
3.875000e-01	5.875000e-01	0
3.875000e-01	6.125000e-01	0
3.875000e-01	6.375000e-01	0
3.875000e-01	6.625000e-01	0
3.875000e-01	6.875000e-01	0
3.875000e-01	7.125000e-01	0
3.875000e-01	7.375000e-01	0
3.875000e-01	7.625000e-01	0
3.875000e-01	7.875000e-01	0
3.875000e-01	8.125000e-01	0
3.875000e-01	8.375000e-01	0
3.875000e-01	8.625000e-01	0
3.875000e-01	8.875000e-01	0
3.875000e-01	9.125000e-01	0
3.875000e-01	9.375000e-01	0
3.875000e-01	9.625000e-01	0
3.875000e-01	9.875000e-01	0
3.875000e-01	1.012500e+00	0
3.875000e-01	1.037500e+00	0
3.875000e-01	1.062500e+00	0
3.875000e-01	1.087500e+00	0
3.875000e-01	1.112500e+00	0
3.875000e-01	1.137500e+00	0
3.875000e-01	1.162500e+00	0
3.875000e-01	1.187500e+00	0
4.125000e-01	-1.875000e-01	0
4.125000e-01	-1.625000e-01	0
4.125000e-01	-1.375000e-01	0
4.125000e-01	-1.125000e-01	0
4.125000e-01	-8.750000e-02	0
4.125000e-01	-6.250000e-02	0
4.125000e-01	-3.750000e-02	0
4.125000e-01	-1.250000e-02	0
4.125000e-01	1.250000e-02	0
4.125000e-01	3.750000e-02	0
4.125000e-01	6.250000e-02	0
4.125000e-01	8.750000e-02	0
4.125000e-01	1.125000e-01	0
4.125000e-01	1.375000e-01	0
4.125000e-01	1.625000e-01	0
4.125000e-01	1.875000e-01	0
4.125000e-01	2.125000e-01	0
4.125000e-01	2.375000e-01	0
4.125000e-01	2.625000e-01	0
4.125000e-01	2.875000e-01	0
4.125000e-01	3.125000e-01	0
4.125000e-01	3.375000e-01	0
4.125000e-01	3.625000e-01	0
4.125000e-01	3.875000e-01	0
4.125000e-01	4.125000e-01	0
4.125000e-01	4.375000e-01	0
4.125000e-01	4.625000e-01	0
4.125000e-01	4.875000e-01	0
4.125000e-01	5.125000e-01	0
4.125000e-01	5.375000e-01	0
4.125000e-01	5.625000e-01	0
4.125000e-01	5.875000e-01	0
4.125000e-01	6.125000e-01	0
4.125000e-01	6.375000e-01	0
4.125000e-01	6.625000e-01	0
4.125000e-01	6.875000e-01	0
4.125000e-01	7.125000e-01	0
4.125000e-01	7.375000e-01	0
4.125000e-01	7.625000e-01	0
4.125000e-01	7.875000e-01	0
4.125000e-01	8.125000e-01	0
4.125000e-01	8.375000e-01	0
4.125000e-01	8.625000e-01	0
4.125000e-01	8.875000e-01	0
4.125000e-01	9.125000e-01	0
4.125000e-01	9.375000e-01	0
4.125000e-01	9.625000e-01	0
4.125000e-01	9.875000e-01	0
4.125000e-01	1.012500e+00	0
4.125000e-01	1.037500e+00	0
4.125000e-01	1.062500e+00	0
4.125000e-01	1.087500e+00	0
4.125000e-01	1.112500e+00	0
4.125000e-01	1.137500e+00	0
4.125000e-01	1.162500e+00	0
4.125000e-01	1.187500e+00	0
4.375000e-01	-1.875000e-01	0
4.375000e-01	-1.625000e-01	0
4.375000e-01	-1.375000e-01	0
4.375000e-01	-1.125000e-01	0
4.375000e-01	-8.750000e-02	0
4.375000e-01	-6.250000e-02	0
4.375000e-01	-3.750000e-02	0
4.375000e-01	-1.250000e-02	0
4.375000e-01	1.250000e-02	0
4.375000e-01	3.750000e-02	0
4.375000e-01	6.250000e-02	0
4.375000e-01	8.750000e-02	0
4.375000e-01	1.125000e-01	0
4.375000e-01	1.375000e-01	0
4.375000e-01	1.625000e-01	0
4.375000e-01	1.875000e-01	0
4.375000e-01	2.125000e-01	0
4.375000e-01	2.375000e-01	0
4.375000e-01	2.625000e-01	0
4.375000e-01	2.875000e-01	0
4.375000e-01	3.125000e-01	0
4.375000e-01	3.375000e-01	0
4.375000e-01	3.625000e-01	0
4.375000e-01	3.875000e-01	0
4.375000e-01	4.125000e-01	0
4.375000e-01	4.375000e-01	0
4.375000e-01	4.625000e-01	0
4.375000e-01	4.875000e-01	0
4.375000e-01	5.125000e-01	0
4.375000e-01	5.375000e-01	0
4.375000e-01	5.625000e-01	0
4.375000e-01	5.875000e-01	0
4.375000e-01	6.125000e-01	0
4.375000e-01	6.375000e-01	0
4.375000e-01	6.625000e-01	1
4.375000e-01	6.875000e-01	0
4.375000e-01	7.125000e-01	0
4.375000e-01	7.375000e-01	0
4.375000e-01	7.625000e-01	0
4.375000e-01	7.875000e-01	0
4.375000e-01	8.125000e-01	0
4.375000e-01	8.375000e-01	0
4.375000e-01	8.625000e-01	0
4.375000e-01	8.875000e-01	0
4.375000e-01	9.125000e-01	0
4.375000e-01	9.375000e-01	0
4.375000e-01	9.625000e-01	0
4.375000e-01	9.875000e-01	0
4.375000e-01	1.012500e+00	0
4.375000e-01	1.037500e+00	0
4.375000e-01	1.062500e+00	0
4.375000e-01	1.087500e+00	0
4.375000e-01	1.112500e+00	0
4.375000e-01	1.137500e+00	0
4.375000e-01	1.162500e+00	0
4.375000e-01	1.187500e+00	0
4.625000e-01	-1.875000e-01	0
4.625000e-01	-1.625000e-01	0
4.625000e-01	-1.375000e-01	0
4.625000e-01	-1.125000e-01	0
4.625000e-01	-8.750000e-02	0
4.625000e-01	-6.250000e-02	0
4.625000e-01	-3.750000e-02	0
4.625000e-01	-1.250000e-02	0
4.625000e-01	1.250000e-02	0
4.625000e-01	3.750000e-02	0
4.625000e-01	6.250000e-02	0
4.625000e-01	8.750000e-02	0
4.625000e-01	1.125000e-01	0
4.625000e-01	1.375000e-01	0
4.625000e-01	1.625000e-01	0
4.625000e-01	1.875000e-01	0
4.625000e-01	2.125000e-01	0
4.625000e-01	2.375000e-01	0
4.625000e-01	2.625000e-01	0
4.625000e-01	2.875000e-01	0
4.625000e-01	3.125000e-01	0
4.625000e-01	3.375000e-01	0
4.625000e-01	3.625000e-01	0
4.625000e-01	3.875000e-01	0
4.625000e-01	4.125000e-01	0
4.625000e-01	4.375000e-01	0
4.625000e-01	4.625000e-01	1
4.625000e-01	4.875000e-01	0
4.625000e-01	5.125000e-01	0
4.625000e-01	5.375000e-01	0
4.625000e-01	5.625000e-01	0
4.625000e-01	5.875000e-01	0
